X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-94.4842808,49.7673226,321011714,1414758,Pharmacy,Retail Pharmacy,Loblaw Pharmacy 4063,,,,538 Park Street,,,Kenora,P9N1A1,2025/04/09 21:34:02+00,2025/04/09 14:40:29+00,2025/04/09 17:54:59+00,2273569
-79.3029148,43.7603576,321013352,5066037,Pharmacy,Retail Pharmacy,Dalecliff Medical Pharmacy,,,,2-209 Ellesmere Road,,,Toronto,M1R4E2,2025/04/09 21:30:58+00,2025/04/09 14:43:33+00,2025/04/09 17:54:59+00,2273585
-79.685368,43.5784333,321013693,5616274,Pharmacy,Retail Pharmacy,The Queen Pharmacy,,,,5025 Creditview Road,,,Mississauga,L5V3E5,2025/04/09 21:33:27+00,2025/04/09 14:44:11+00,2025/04/09 17:54:59+00,2273601
-79.7022095,43.5623192,321013385,5119070,Pharmacy,Allergen Supplier,"Nadarajah,Sumathi Dr",,,,110-2000 Credit Valley Road,,,Mississauga,L5M4N4,2025/04/09 21:35:59+00,2025/04/09 14:43:37+00,2025/04/09 17:54:59+00,2273617
-79.7745031,43.3893225,321017001,9641239,Pharmacy,Retail Pharmacy,Silver Fox Pharmacy,,,,3-1445 Norjohn Crt,,,Burlington,L7L0E6,2025/04/09 21:32:23+00,2025/04/09 14:50:22+00,2025/04/09 17:54:59+00,2273633
-79.3785429,43.6658218,321009561,6101042,Community Health Centre,Satellite,Vibrant Health Care Alliance Jarvis Site,,Formerly Anne Johnston Health Station,,460 Jarvis Street,4th Floor,,Toronto,M4Y2X8,2025/04/09 21:37:20+00,2025/04/09 14:36:31+00,2025/04/09 17:54:59+00,2273649
-76.7202875999999,44.2768449,321017186,9758354,Pharmacy,Retail Pharmacy,Odessa Pharmacy,,,,115 Main Street,,,Odessa,K0K2H0,2025/04/09 21:30:09+00,2025/04/09 14:50:43+00,2025/04/09 17:54:59+00,2273665
-79.8970204,43.6488731,321012624,3690839,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,,,,300 Guelph Street,,,Georgetown,L7G4B2,2025/04/09 21:36:15+00,2025/04/09 14:42:12+00,2025/04/09 17:54:59+00,2273681
-79.6915024,44.3808208,321016520,924557,Pharmacy,Retail Pharmacy,Kempenfelt Pharmacy,,,,11 Victoria Street Unit A2,,,Barrie,L4N6T3,2025/04/09 21:37:55+00,2025/04/09 14:49:28+00,2025/04/09 17:54:59+00,2273697
-79.8935842,43.6500515,321013006,4446790,Pharmacy,Retail Pharmacy,Shoppers Drug Mart 707,,,,265 Guelph Street A,,,Georgetown,L7G4B1,2025/04/09 21:32:01+00,2025/04/09 14:42:55+00,2025/04/09 17:54:59+00,2273713
-80.1960511,43.5086664,321014724,7086351,Pharmacy,Retail Pharmacy,Gordon Pharmasave Pharmacy,,,,1515 Gordon Street,,,Guelph,N1L0C9,2025/04/09 21:37:38+00,2025/04/09 14:46:06+00,2025/04/09 17:54:59+00,2273729
-75.7081362,45.4128489,321009794,75A,Family Health Team,Satellite,Bruyère Academic Family Health Team,,,,35 Primrose Avenue East,,75,Ottawa,K1R0A1,2025/04/09 21:32:18+00,2025/04/09 14:36:57+00,2025/04/09 17:54:59+00,2273745
-79.072932,43.1069709,321006810,1998,Mental Health and Addiction Organization,Addiction Services,Community Addiction Services Of Niagara,,,,4632 Victoria Avenue,,Practice Location,Niagara Falls,L2E4B7,2025/04/09 21:29:46+00,2025/04/09 14:31:31+00,2025/04/09 17:54:59+00,2273761
-79.3656041,43.6505286,321007141,2492,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Ontario Federation Of Indigenous Friendship Centres,,,,219 Front Street East,,Administrative Office,Toronto,M5A1E8,2025/04/09 21:32:03+00,2025/04/09 14:32:08+00,2025/04/09 17:54:59+00,2273777
-79.6710914,43.5332429,321017017,9652119,Pharmacy,Retail Pharmacy,Skyward Medicos Pharmacy,,,,104-2255 Dundas Street West,,,Mississauga,L5K1R6,2025/04/09 21:37:37+00,2025/04/09 14:50:24+00,2025/04/09 17:54:59+00,2273793
-75.7282227,45.4012808,321017133,9725513,Pharmacy,Retail Pharmacy,Heal Hub Pharmacy,,,,1163 Wellington Street West,,,Ottawa,K1Y2Y9,2025/04/09 21:32:58+00,2025/04/09 14:50:37+00,2025/04/09 17:54:59+00,2273809
-79.098878,43.1162883,321015136,7608396,Pharmacy,Retail Pharmacy,Trinity Medical Centre Phcy,,,,3936 Portage Road,,,Niagara Falls,L2J2K9,2025/04/09 21:29:45+00,2025/04/09 14:46:52+00,2025/04/09 17:54:59+00,2273825
-79.229629,43.1692598,321009552,6056366,Integrated Community Health Services Centre,"Ophthalmic Ultrasound, General Ultrasound, Vascular Ultrasound, Radiography",One Vascular - St. Catharines,,One Vascular Corp.,,296 Welland Avenue,,,St. Catharines,L2R7L9,2025/04/09 21:31:40+00,2025/04/09 14:36:30+00,2025/04/09 17:54:59+00,2273841
-81.2429852,42.9937106,321008731,4231,Community Support Service,,Participation House Support Services - London And Area,,,,620 Colborne Street,,,London,N6B3R9,2025/04/09 21:32:54+00,2025/04/09 14:35:02+00,2025/04/09 17:54:59+00,2273857
-75.9240991,45.3238734,321010781,N0271,Licensed Retirement Home,,Symphony Senior Living Kanata,,,,27 Weaver Crescent,,,Kanata,K2K2Z8,2025/04/09 21:34:00+00,2025/04/09 14:38:43+00,2025/04/09 17:54:59+00,2273873
-79.5707111,43.7580189,321014521,6819473,Pharmacy,Retail Pharmacy,Humber Summit Pharmacy,,,,10-2972 Islington Avenue,,,North York,M9L2K6,2025/04/09 21:30:36+00,2025/04/09 14:45:43+00,2025/04/09 17:54:59+00,2273889
-82.3824665,42.5823915,321011078,S0433,Licensed Retirement Home,,Oaks Retirement Village,,,,80 Mcnaughton Avenue,,,Wallaceburg,N8A1R9,2025/04/09 21:30:40+00,2025/04/09 14:39:17+00,2025/04/09 17:54:59+00,2273905
-81.3293835,48.4774736,321009631,64F,Family Health Team,Satellite,Timmins Academic Family Health Team-Fifth Avenue Site,,,,206 Fifth Avenue,,64,Timmins,P4N5L3,2025/04/09 21:32:13+00,2025/04/09 14:36:39+00,2025/04/09 17:54:59+00,2273921
-79.8709389,43.2514298,321009290,5056225,Integrated Community Health Services Centre,"Fluoroscopy, General Ultrasound, Radiography, Vascular Ultrasound",Wentworth-Halton X-Ray And Ultrasound Inc.,,Wentworth-Halton X-Ray And Ultrasound Inc.,,1 Young Street,Suite 105,,Hamilton,L8N1T8,2025/04/09 21:37:05+00,2025/04/09 14:36:02+00,2025/04/09 17:54:59+00,2273937
-79.4650071,46.3117663,321007408,3026,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association North Bay And District,,,,176 Main Street West,Suite: A,Administration And Practice Location,North Bay,P1B2T5,2025/04/09 21:30:04+00,2025/04/09 14:32:37+00,2025/04/09 17:54:59+00,2273953
-74.7135996,45.0183214,321015328,7893719,Pharmacy,Retail Pharmacy,Medical Arts Pharmacy,,,,165 Montreal Road,,,Cornwall,K6H1B2,2025/04/09 21:36:16+00,2025/04/09 14:47:14+00,2025/04/09 17:54:59+00,2273969
-79.9204844,46.3732524,321007839,3326631,Community Health Centre,Main,Centre De Santé Communautaire Du Nipissing Ouest,Centre De Santé Communautaire Du Nipissing Ouest,,,68 Michaud Street,,,Sturgeon Falls,P2B1B8,2025/04/09 21:38:03+00,2025/04/09 14:33:25+00,2025/04/09 17:54:59+00,2273985
-79.2495639,43.7078167,321012319,30228,Pharmacy,Retail Pharmacy,Kingston Pharmacy,,,,2377 Kingston Road,,,Scarborough,M1N4E7,2025/04/09 21:32:02+00,2025/04/09 14:41:38+00,2025/04/09 17:54:59+00,2274001
-79.4317811,43.7272366,321010110,9000000094,Midwifery Clinic,Main,Uptown Midwives And Family Wellness,,,,3426 Bathurst Street,,Practice Location,Toronto,M6A2C2,2025/04/09 21:37:46+00,2025/04/09 14:37:32+00,2025/04/09 17:54:59+00,2274017
-74.6069312,45.5990683,321008700,4206,Licensed Lab and Specimen Collection Centre,Licensed Hospital Lab Location,Hopital General De Hawkesbury And District General Hospital Inc.,,,,1111 Ghislain Street,,"Billing, Administration, & Practice Address",Hawkesbury,K6A3G5,2025/04/09 21:32:15+00,2025/04/09 14:34:58+00,2025/04/09 17:54:59+00,2274033
-79.3981988,43.819794,321015343,7917873,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #658,,,,298 John Street,,,Thornhill,L3T5W4,2025/04/09 21:29:47+00,2025/04/09 14:47:15+00,2025/04/09 17:54:59+00,2274049
-75.66427,45.3733908,321014307,6510359,Pharmacy,Retail Pharmacy,Promed Pharmacy,,,,2706 Alta Vista Drive,,,Ottawa,K1V7T4,2025/04/09 21:32:03+00,2025/04/09 14:45:20+00,2025/04/09 17:54:59+00,2274065
-79.2952254,43.7630331,321009328,5225596,Integrated Community Health Services Centre,Pulmonary Function B - Lung Volumes & Diffusion,Toronto Lung Care Clinic,,Mr. Udaya Shankar Padmakaran,,520 Ellesmere Road,301,,Scarborough,M1R0B1,2025/04/09 21:37:48+00,2025/04/09 14:36:06+00,2025/04/09 17:54:59+00,2274081
-82.8676371,42.3065661,321013150,4701790,Pharmacy,Retail Pharmacy,Sobeys Pharmacy #7216,,,,19 Amy Croft Drive,,,Windsor,N9K1C7,2025/04/09 21:33:09+00,2025/04/09 14:43:11+00,2025/04/09 17:54:59+00,2274097
-79.5646477,44.1148965,321013971,6044755,Pharmacy,Retail Pharmacy,Bradford Centre Pharmacy,,,,21 Barrie Street,,,Bradford,L3Z2B3,2025/04/09 21:36:24+00,2025/04/09 14:44:42+00,2025/04/09 17:54:59+00,2274113
-79.8794346,44.1505233,321012826,4136036,Pharmacy,Retail Pharmacy,Drugstore Pharmacy #509,,,,30 King Street South,,,Alliston,L9R1H6,2025/04/09 21:35:12+00,2025/04/09 14:42:35+00,2025/04/09 17:54:59+00,2274129
-78.3191085,44.3065355,321009337,5267,Mental Health and Addiction Organization,Mental Health Services,Ontario Shores Centre For Mental Health Sciences,,,,421 Water Street,Suite: 4,Practice Location,Peterborough,K9H3P9,2025/04/09 21:37:40+00,2025/04/09 14:36:07+00,2025/04/09 17:54:59+00,2274145
-81.4348197,42.9560964,321010447,999202,Seniors Active Living Centre,,Middlesex Centre SALC - Komoka Community Centre,Middlesex Centre SALC - Komoka Community Centre,,,133 Queen Street,,,Komoka,N0L1R0,2025/04/09 21:36:07+00,2025/04/09 14:38:08+00,2025/04/09 17:54:59+00,2274161
-79.8368687,43.5081998,321012335,307590,Pharmacy,Retail Pharmacy,Metro Pharmacy #571,,,,1050 Kennedy Circle,,,Milton,L9T0J9,2025/04/09 21:31:41+00,2025/04/09 14:41:40+00,2025/04/09 17:54:59+00,2274177
-82.5901641,42.0431596,321017648,4590,Long-Term Care Home,NH non-profit,Leamington Mennonite Home Long Term Care Residence,,,,35 Pickwick Drive,,,Leamington,N8H4T5,2025/04/09 21:34:20+00,2025/04/09 16:03:51+00,2025/04/09 17:54:59+00,2274193
-79.3722386,43.664414,321010378,999135,Seniors Active Living Centre,,Dixon Hall - The Adult Enrichment Program,Dixon Hall - The Adult Enrichment Program,,,55 Bleecker Street,,,Toronto,M4X1W9,2025/04/09 21:30:29+00,2025/04/09 14:38:00+00,2025/04/09 17:54:59+00,2274209
-79.514886,43.6592771,321016704,9397075,Pharmacy,Retail Pharmacy,Kingsway Pharmacy,,,,4242 Dundas Street West,,,Etobicoke,M8X1Y6,2025/04/09 21:33:34+00,2025/04/09 14:49:49+00,2025/04/09 17:54:59+00,2274225
-79.3713875,43.6639049,321008467,4071,Community Support Service,,Mid Toronto Community Services Inc.,,,,192 Carlton Street,,,Toronto,M5A2K8,2025/04/09 21:35:50+00,2025/04/09 14:34:33+00,2025/04/09 17:54:59+00,2274241
-80.5368615,43.8320538,321015302,7856457,Pharmacy,Retail Pharmacy,Walsh's IDA Pharmacy Ltd,,,,147 George Street,,,Arthur,N0G1A0,2025/04/09 21:36:47+00,2025/04/09 14:47:11+00,2025/04/09 17:54:59+00,2274257
-81.4663435,42.812966,321009219,4837,Community Support Service,,Wulaawsuwiikaan Healing Lodge,,,,"275 Jubilee Road, R. R. #1",,,Chippewas Of Thames42,N0L1Y0,2025/04/09 21:33:53+00,2025/04/09 14:35:54+00,2025/04/09 17:54:59+00,2274273
-79.2986841,43.6815537,321013021,4472458,Pharmacy,Long Term Care Facility,Main Street Terrace,,,,77 Main Street,,,Toronto,M4E2Y6,2025/04/09 21:30:34+00,2025/04/09 14:42:57+00,2025/04/09 17:54:59+00,2274289
-79.0360524,44.3510799,321007259,275126,Community Health Centre,Main,Brock Community Health Centre Cannington,,,,"64 Cameron Street East, P.O. Box 69",,,Cannington,L0E1E0,2025/04/09 21:35:57+00,2025/04/09 14:32:21+00,2025/04/09 17:54:59+00,2274305
-79.2877001,43.7837214,321010150,9362513,Integrated Community Health Services Centre,"Bone Mineral Dxa, Fluoroscopy, Radiography, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - Spect",Kennedy & Sheppard Diagnostic Clinic,,1388020 Ontario Corp.,,4002 Sheppard Avenue East,Suite 304,,Scarborough,M1S1S6,2025/04/09 21:38:18+00,2025/04/09 14:37:36+00,2025/04/09 17:54:59+00,2274321
-79.4563658,44.0605728,321015268,7806038,Pharmacy,Retail Pharmacy,Dixon Medical Pharmacy,,,,106-531 Davis Drive,,,Newmarket,L3Y6P5,2025/04/09 21:37:01+00,2025/04/09 14:47:07+00,2025/04/09 17:54:59+00,2274337
-75.6279146,45.4059347,321008968,4412910,Integrated Community Health Services Centre,Eye Surgery,Herzig Eye Institute Ottawa,,Herzig Eye Institute Ottawa Inc.,,1730 St. Laurent Boulevard,Unit 600,,Ottawa,K1G5L1,2025/04/09 21:31:25+00,2025/04/09 14:35:27+00,2025/04/09 17:54:59+00,2274353
-79.8983414,43.3293168,321010167,9479040,Integrated Community Health Services Centre,"Mammography, Radiography, General Ultrasound, Vascular Ultrasound",Wentworth-Halton X-Ray And Ultrasound Inc.,,Wentworth-Halton X-Ray And Ultrasound Inc.,,245 Dundas Street East,Units 7 And 8,,Waterdown,L0R2H6,2025/04/09 21:32:52+00,2025/04/09 14:37:38+00,2025/04/09 17:54:59+00,2274369
-81.2360151,42.9894233,321011008,S01532,Licensed Retirement Home,,Queens Village,,,,518 Queens Avenue,,,London,N6B1Y7,2025/04/09 21:34:03+00,2025/04/09 14:39:09+00,2025/04/09 17:54:59+00,2274385
-79.909657,44.7401008000001,321014259,6442316,Pharmacy,Retail Pharmacy,Shoppers Simply Pharmacy #3009,,,,240 Penetanguishene Road,Huronia Medical Centre,,Midland,L4R0E8,2025/04/09 21:33:42+00,2025/04/09 14:45:14+00,2025/04/09 17:54:59+00,2274401
-81.2410078,43.0110473,321017069,9681230,Pharmacy,Retail Pharmacy,London Centre Pharma Choice,,,,21-1080 Adelaide Street North,,,London,N5Y2N1,2025/04/09 21:35:51+00,2025/04/09 14:50:30+00,2025/04/09 17:54:59+00,2274417
-75.7686895,45.369716,321015046,7498638,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #622,,,,1-2148 Carling Avenue,,,Ottawa,K2A1H1,2025/04/09 21:38:22+00,2025/04/09 14:46:42+00,2025/04/09 17:54:59+00,2274433
-79.0186782,43.8825699,321012637,3710791,Pharmacy,Retail Pharmacy,One Healthcare Pharmacy,,,,300 Rossland Road East,,,Ajax,L1Z0M1,2025/04/09 21:31:19+00,2025/04/09 14:42:14+00,2025/04/09 17:54:59+00,2274449
-79.3869195,43.6989607,321011247,T01419,Licensed Retirement Home,,The Claremont,,,,305 Balliol Street,,,Toronto,M4S3H5,2025/04/09 21:32:08+00,2025/04/09 14:39:36+00,2025/04/09 17:54:59+00,2274465
-82.9275458,42.2990926,321017696,4673,Long-Term Care Home,NH for-profit,Riverside Place,,,,3181 Meadowbrook Lane,,,Windsor,N8T0A4,2025/04/09 21:34:42+00,2025/04/09 16:03:51+00,2025/04/09 17:54:59+00,2274481
-80.2761068,43.53352,321006343,11672,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Stonehenge Therapeutic Community Inc.,,,,60 Westwood Road,,Administration And Practice Location,Guelph,N1H7X3,2025/04/09 21:37:15+00,2025/04/09 14:30:31+00,2025/04/09 17:54:59+00,2274497
-79.2380489,43.1139930000001,321015182,7670996,Pharmacy,Retail Pharmacy,The Foundry Pharmacy,,,,1B-3460 Schmon Parkway,,,Thorold,L2V4Y6,2025/04/09 21:30:16+00,2025/04/09 14:46:57+00,2025/04/09 17:54:59+00,2274513
-79.4515023,44.0415984,321006377,1238765,Integrated Community Health Services Centre,Radiography,Bayview Diagnostic Imaging,,1531732 Ontario Inc.,,535 Mulock Drive,Suite 300,,Newmarket,L3Y5H2,2025/04/09 21:35:28+00,2025/04/09 14:30:35+00,2025/04/09 17:54:59+00,2274529
-79.4481901,44.0125644,321008075,36A,Family Health Team,Satellite,Southlake Family Health Team-Aurora,,,,130 Hollidge Boulevard,Unit 5,36,Aurora,L4G8A3,2025/04/09 21:37:59+00,2025/04/09 14:33:50+00,2025/04/09 17:54:59+00,2274545
-80.5516092,43.5389003,321011165,T0020,Licensed Retirement Home,,St. Jacobs Place,,,,10 Water Street,,,St. Jacobs,N0B2N0,2025/04/09 21:33:12+00,2025/04/09 14:39:27+00,2025/04/09 17:54:59+00,2274561
-87.3185782,52.8868338,321009130,4591,Community Support Service,,Webequie First Nation,,,,P.O. Box 176,,,Webequie,P0T3A0,2025/04/09 21:30:45+00,2025/04/09 14:35:45+00,2025/04/09 17:54:59+00,2274577
-76.4986376,44.2550285,321007586,31010,Mental Health and Addiction Organization,Mental Health Services,Addiction & Mental Health Services - Kingston Frontenac Lennox & Addington (Amhs - Kfla),,,,35 Lyons Street,,Practice Location,Kingston,K7K6Y5,2025/04/09 21:29:53+00,2025/04/09 14:32:57+00,2025/04/09 17:54:59+00,2274593
-79.378141,43.6723286,321015386,79827,Pharmacy,Retail Pharmacy,Sherbourne Station Pharmacy,,,,6-366 Bloor Street East,,,Toronto,M4W1H4,2025/04/09 21:32:05+00,2025/04/09 14:47:20+00,2025/04/09 17:54:59+00,2274609
-79.5399172,43.6357279,321016446,9179471,Pharmacy,Retail Pharmacy,Dundas Kipling Pharmacy,,,,5359 Dundas Street West,,,Toronto,M9B1B1,2025/04/09 21:37:50+00,2025/04/09 14:49:19+00,2025/04/09 17:54:59+00,2274625
-80.4417122999999,43.4302598,321016352,9100938,Pharmacy,Long Term Care Facility,Trinity Village Care Centre,,,,2727 Kingsway Drive,,,Kitchener,N2C1A7,2025/04/09 21:32:53+00,2025/04/09 14:49:09+00,2025/04/09 17:54:59+00,2274641
-75.6841223,45.4340905,321008706,4209,Community Support Service,,Metis Nation Of Ontario,,,,500 Old Ste. Patrick Street,,,Ottawa,K1N9G4,2025/04/09 21:36:03+00,2025/04/09 14:34:59+00,2025/04/09 17:54:59+00,2274657
-83.0529155,42.314235,321016963,9609872,Pharmacy,Retail Pharmacy,Healthfirst Pharmacy,,,,1200 University Avenue West,,,Windsor,N9A5S7,2025/04/09 21:31:46+00,2025/04/09 14:50:18+00,2025/04/09 17:54:59+00,2274673
-80.2512969,43.547873,321006263,104170,Community Health Centre,Main,Guelph Community Health Centre Downtown,,,,176 Wyndham Street North,,,Guelph,N1H8N9,2025/04/09 21:34:58+00,2025/04/09 14:30:21+00,2025/04/09 17:54:59+00,2274689
-82.8712927,42.3131433,321009190,4751893,Integrated Community Health Services Centre,"Radiography, General Ultrasound, Vascular Ultrasound",Clear Medical Imaging,,2324317 Ontario Ltd.,,13278 Tecumseh Road East,Suite 106,,Tecumseh,N8N3T6,2025/04/09 21:34:41+00,2025/04/09 14:35:51+00,2025/04/09 17:54:59+00,2274705
-79.4209279,43.7788169,321008540,4115,Community Support Service,,Community Head Injury Resource Services Of Toronto,,,,62 Finch Avenue,,,Toronto,M2N7G1,2025/04/09 21:36:42+00,2025/04/09 14:34:41+00,2025/04/09 17:54:59+00,2274721
-82.3987819,42.5934923,321006550,15439,Mental Health and Addiction Organization,Addiction Services,Chatham-Kent Community Health Centres,,,,1430 Dufferin Avenue,,Practice Location,Wallaceburg,N8A2W5,2025/04/09 21:30:15+00,2025/04/09 14:31:01+00,2025/04/09 17:54:59+00,2274737
-83.6698436,49.6832889,321006905,2120,Mental Health and Addiction Organization,Addiction Services,Maison Renaissance De La Rehabilitation,,,,924 Halle Street,,Administration And Practice Location,Hearst,P0L1N0,2025/04/09 21:31:39+00,2025/04/09 14:31:42+00,2025/04/09 17:54:59+00,2274753
-79.248551,43.9710898,321016926,9587271,Pharmacy,Retail Pharmacy,Stouffville IDA Pharmacy,,,,1-6212 Main Street,,,Stouffville,L4A2S5,2025/04/09 21:37:31+00,2025/04/09 14:50:14+00,2025/04/09 17:54:59+00,2274769
-79.4542778,43.8115913,321015706,8370639,Pharmacy,Retail Pharmacy,Disera Medical Pharmacy,,,,100-30 Disera Drive,,,Thornhill,L4J0A7,2025/04/09 21:34:28+00,2025/04/09 14:47:56+00,2025/04/09 17:54:59+00,2274785
-79.4447754,46.3172028,321016818,9524115,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #665,,,,2025 Cassells Street,,,North Bay,P1B4E1,2025/04/09 21:31:02+00,2025/04/09 14:50:02+00,2025/04/09 17:54:59+00,2274801
-89.2475465,48.3850486,321008418,4040,Mental Health and Addiction Organization,Mental Health Services,Thunder Bay Regional Health Sciences Centre,,,,125 Brodie Street North,,Practice Location,Thunder Bay,P7C3S6,2025/04/09 21:36:03+00,2025/04/09 14:34:28+00,2025/04/09 17:54:59+00,2274817
-79.4113268,44.6053067,321007409,30261,Mental Health and Addiction Organization,Addiction Services,Royal Victoria Regional Health Centre,,,,169 Front Street South,The Common Roof,Practice Location,Orillia,L3V4S8,2025/04/09 21:31:10+00,2025/04/09 14:32:38+00,2025/04/09 17:54:59+00,2274833
-79.8982125,43.2602983,321011456,1024714,Pharmacy,Retail Pharmacy,West End Pharmacy,,,,690 Main Street West,,,Hamilton,L8S1A4,2025/04/09 21:34:46+00,2025/04/09 14:40:00+00,2025/04/09 17:54:59+00,2274849
-79.2688525,43.833221,321011486,107985,Pharmacy,Retail Pharmacy,Evergreen Drug Mart Ltd,,,,7-2002 Middlefield Road,,,Markham,L3S1Y5,2025/04/09 21:34:20+00,2025/04/09 14:40:03+00,2025/04/09 17:54:59+00,2274865
-76.6539124,44.217964,321010795,N0376,Licensed Retirement Home,,Briargate,,,,4567 Bath Road,,,Amherstview,K7N1A8,2025/04/09 21:31:20+00,2025/04/09 14:38:45+00,2025/04/09 17:54:59+00,2274881
-81.2540437,42.9996772,321009707,714,Community Support Service,,St.Joseph's Health Care London,,,,268 Grosvenor Street,,,London,N6A4V2,2025/04/09 21:32:45+00,2025/04/09 14:36:47+00,2025/04/09 17:54:59+00,2274897
-80.5244973,43.4755795,321016721,9414797,Pharmacy,Retail Pharmacy,University Pharmacy,,,,240 King Street North,,,Waterloo,N2J2Y7,2025/04/09 21:33:57+00,2025/04/09 14:49:50+00,2025/04/09 17:54:59+00,2274913
-78.744332,44.3463042,321011181,T0043,Licensed Retirement Home,,Adelaide Place Retirement Community,,,,84 Adelaide Street South,,,Lindsay,K9V0G6,2025/04/09 21:30:31+00,2025/04/09 14:39:29+00,2025/04/09 17:54:59+00,2274929
-79.4023004,43.6478094,321013254,4911634,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #993,,,,524 Queen Street West,,,Toronto,M5V2B5,2025/04/09 21:33:32+00,2025/04/09 14:43:23+00,2025/04/09 17:54:59+00,2274945
-75.8854252,45.3008895,321010746,N0161,Licensed Retirement Home,,Fairfield Manor Retirement Residence,,,,17 Lombardo Drive,,,Kanata,K2L4E8,2025/04/09 21:30:19+00,2025/04/09 14:38:40+00,2025/04/09 17:54:59+00,2274961
-79.4695941,44.0034751,321015954,8653511,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #955,,,,15408 Yonge Street,,,Aurora,L4G1N9,2025/04/09 21:35:26+00,2025/04/09 14:48:24+00,2025/04/09 17:54:59+00,2274977
-79.5676931,43.1967896,321012697,3854038,Pharmacy,Retail Pharmacy,Shoppers Drug Mart 798,,,,42 St Andrews Avenue,Unit 1,,Grimsby,L3M3S2,2025/04/09 21:38:07+00,2025/04/09 14:42:21+00,2025/04/09 17:54:59+00,2274993
-81.5426384,43.6213766,321017458,9833,Hospital,Corporation,Huron Perth Healthcare Alliance - Clinton,,Huron Perth Healthcare Alliance,,98 Shipley Street,,,Clinton,N0M1L0,2025/04/09 21:33:10+00,2025/04/09 14:51:13+00,2025/04/09 17:54:59+00,2275009
-75.5079824,45.4539775,321011496,1094997,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1139,,,,3940 Innes Road,,,Orleans,K1W1K9,2025/04/09 21:30:49+00,2025/04/09 14:40:05+00,2025/04/09 17:54:59+00,2275025
-79.4515023,44.0415984,321015920,8611157,Pharmacy,Retail Pharmacy,Cardinal Pharmacy,,,,101-535 Mulock Drive,,,Newmarket,L3Y5H2,2025/04/09 21:32:13+00,2025/04/09 14:48:20+00,2025/04/09 17:54:59+00,2275041
-78.8632602,43.874158,321014994,7438793,Pharmacy,Retail Pharmacy,Oshawa Lakeview Pharmacy,,,,799 Park Road South,Unit 5,,Oshawa,L1J4K1,2025/04/09 21:37:18+00,2025/04/09 14:46:36+00,2025/04/09 17:54:59+00,2275057
-80.5244228,43.4669109,321006279,1063914,Integrated Community Health Services Centre,Plastic Surgery,Cosmetic Surgery Clinic Of Waterloo,,Dr. Robert Shenker Medicine Professional Corporation,,50 Albert Street,,,Waterloo,N2L3S2,2025/04/09 21:29:58+00,2025/04/09 14:30:23+00,2025/04/09 17:54:59+00,2275073
-79.0925311,43.092803,321010034,9000000008,Midwifery Clinic,Satellite,Sages Femmes Renaissance Midwifery,,,,5637 Main Street,,Practice Location,Niagara Falls,L2G5Z3,2025/04/09 21:35:35+00,2025/04/09 14:37:24+00,2025/04/09 17:54:59+00,2275089
-77.3915391,44.1758284,321012468,335337,Pharmacy,Retail Pharmacy,Metro Pharmacy #521,,,,110 North Front Street,,,Belleville,K8P3B6,2025/04/09 21:37:57+00,2025/04/09 14:41:55+00,2025/04/09 17:54:59+00,2275105
-79.3163169,45.0442845,321006738,18644,Mental Health and Addiction Organization,Mental Health Services,"Simcoe Muskoka Child, Youth And Family Services",,,,193 Manitoba Street,,Practice Location,Bracebridge,P1L1S3,2025/04/09 21:33:23+00,2025/04/09 14:31:23+00,2025/04/09 17:54:59+00,2275121
-75.8205667,45.3284618,321013700,5624915,Pharmacy,Retail Pharmacy,Stafford IDA Pharmacy,,,,1861 Robertson Road,,,Nepean,K2H9N5,2025/04/09 21:35:07+00,2025/04/09 14:44:12+00,2025/04/09 17:54:59+00,2275137
-80.9764899,43.3834563,321010959,S0094,Licensed Retirement Home,,Greenwood Court,,,,90 Greenwood Drive,,,Stratford,N5A7W5,2025/04/09 21:32:09+00,2025/04/09 14:39:04+00,2025/04/09 17:54:59+00,2275153
-78.7542593,44.3563381,321007466,3050,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Med-Health Laboratories Ltd.,,,,"65 Angeline Street North, Lindsay, On, K9V 4R1 Unit # 5",,Practice Address,Toronto,M6A1E3,2025/04/09 21:30:26+00,2025/04/09 14:32:44+00,2025/04/09 17:54:59+00,2275169
